election general	"""Trump is going out the way he came in: A loser, a liar and a cheat"""
election challenge	"""Trump Puts Democracy To The Test After Losing Presidency To Biden : For the first time, a sitting U.S. president tries to convince voters to not believe results clearly showing he lost."""
domestic policy/politics	"""Deb Haaland says 'of course' she would serve as Interior secretary under Biden; she would be the first Native American in the Cabinet, and overseeing public lands."""
domestic policy/politics	Biden Stocks Transition Teams with Climate Experts
domestic policy/politics	"""Secret intelligence exists that \u2018would cast Trump in very negative light\u2019, warns ex-FBI chief"""
domestic policy/politics	Lawyers decided to quit Trump case after chaotic Four Seasons Landscaping press conference
pandemic	"""250,000 Dead Americans by Thanksgiving as Trump Keeps Tweeting | The entire country is being crushed by the virus, Trump doesn\u2019t care, Biden does, but he can\u2019t do anything about it."""
election general	Joe Biden's popular vote share is third largest by presidential challenger in election history
election challenge	Trump puts personal lawyer Rudy Giuliani in charge of all election lawsuits
election general	Obama says Biden's margin of victory over Trump is bigger than Trump's margin over Clinton in 2016
domestic policy/politics	Obama White House Veterans Urge Biden To Embrace Executive Action
election challenge	"""Judges rule against 6 Trump campaign lawsuits to invalidate nearly 9,000 Pennsylvania ballots"""
election general	"""Donald Trump lost the 2020 election, but misinformation will continue to win"""
election challenge	Trump-appointed election official says president\u2019s claims are \u2018baffling\u2019 and court evidence \u2018laughable\u2019
domestic policy/politics	Detroit Police Chief admits to treating 'peaceful' Trump supporters differently than Black Lives Matter protesters
domestic policy/politics	Fake posts promoting 'free pancakes' at Trump Hotel before DC rally spread on social media
election general	Trump greets hundreds of supporters descending on D.C. to falsely claim he won election
pandemic	Biden demands urgent federal COVID action as Trump feuds with Cuomo
election challenge	Mike Pence suggests the Trump administration will be in place for four more years despite Biden victory: 'That's the plan'
domestic policy/politics	Biden Asked Republicans to Give Him a Chance. They\u2019re Not Interested.
election challenge	Giuliani wrecks Trump campaign's well-laid legal plans
election challenge	"""Two \""""dead voters\"""" cited by Trump as proof of Georgia ballot fraud are alive"""
election challenge	Fox's Lou Dobbs Has Full-On Election Meltdown: Denies Trump What's 'Rightfully His'
election general	'You Lost': Chris Evans Lambasts Trump and Four Seasons Landscaping Gaffe
election general	Trump Again Boasts He Won Pennsylvania And Georgia; Twitter Slaps Him Down
domestic policy/politics	K-pop fans protest pro-Trump rally with pancake tweets
foreign relations	"""Lincoln project ad accuses GOP of \""""acting like China, Iran, North Korea\"""" for refusing to accept Trump's election loss"""
domestic policy/politics	Count on Biden to Restore the National Monuments Trump Trashed
election challenge	"""Georgia Democrats Ask Judge to Shut Down Trump Supporters\u2019 Lawsuit: This \u2018Gambit\u2019 Is Backed by No \u2018Concrete, Credible Evidence\u2019"""
domestic policy/politics	Chris Hayes explains how the GOP is already setting \u2018booby traps\u2019 for Biden
domestic policy/politics	Trump Is Going Out Like He Came In: With His Press Secretary Lying About Crowd Size
domestic policy/politics	"""Biden Wants Census To See 'Invisible' Groups: LGBTQ, Middle Eastern, North African"""
